asnum,asname,,,
2,University of Delaware,,,
3,Massachusetts Institute of Technology,,,
4,University of Southern California,,,
8,Rice University,,,
9,Carnegie Mellon University,,,
12,New York University,,,
14,Columbia University,,,
17,Purdue University,,,
18,University of Texas at Austin,,,
20,University of Rochester,,,
25,University of California at Berkeley,,,
26,Cornell University,,,
27,University of Maryland,,,
29,Yale University,,,
31,California Institute of Technology,,,
32,Stanford University,,,
34,University of Delaware,,,
38,University of Illinois,,,
46,Rutgers University,,,
47,University of Southern California,,,
52,"University of California, Los Angeles",,,
55,University of Pennsylvania,,,
57,University of Minnesota,,,
59,University of Wisconsin Madison,,,
63,Massachusetts Institute of Technology,,,
73,University of Washington,,,
77,Johns Hopkins University Applied Physics Laboratory,,,
87,Indiana University,,,
88,Princeton University,,,
91,Rensselaer Polytechnic Institute,,,
92,Clarkson University,,,
98,The Rockefeller University,,,
101,University of Washington,,,
103,Northwestern University,,,
104,University of Colorado at Boulder,,,
111,Boston University,,,
131,"University of California, Santa Barbara",,,
156,Northeastern University,,,
159,The Ohio State University,,,
160,University of Chicago,,,
166,Institute for Defense Analyses,,,
167,Wesleyan University,,,
186,The Catholic University of America,,,
194,University Corporation for Atmospheric Research,,,
205,Montclair State University,,,
217,University of Minnesota,,,
224,"UNINETT, The Norwegian University & Research Network",,,
225,University of Virginia,,,
239,University of Toronto,,,
276,University of Texas System,,,
278,Universidad Nacional Autonoma de Mexico,,,
299,"University of California, Irvine",,,
302,Baylor College of Medicine,,,
553,Universitaet Stuttgart,,,
557,University of Maine System,,,
589,University of North Texas,,,
611,University of Toronto,,,
679,Technische Universitat Wien,,,
681,The University of Waikato,,,
693,University of Notre Dame,,,
698,University of Illinois at Urbana-Champaign,,,
760,"University of Vienna, Austria",,,
802,York University,,,
823,The University of Western Ontario,,,
1109,University of Salzburg,,,
1110,University of Innsbruck,,,
1111,University of Klagenfurt,,,
1112,Montanuniversitaet Leoben,,,
1113,"Technische Universitaet Graz,",,,
1114,Universitaet Graz,,,
1117,"Universitaet fuer Bodenkultur, Wien",,,
1124,Universiteit van Amsterdam,,,
1133,University Twente,,,
1161,Technische Universiteit Eindhoven (TU/e),,,
1201,Old Dominion University,,,
1204,"State University of New York, Central",,,
1205,University Linz,,,
1237,Korea Institute of Science and Technology Information,,,
1249,Five Colleges Network,,,
1252,University of Nebraska Medical Center,,,
1287,Professional Education Institute,,,
1289,Colgate University,,,
1312,Virginia Polytechnic Institute and State Univ.,,,
1351,University of Vermont,,,
1411,Christopher Newport University,,,
1432,Albion College,,,
1603,Henderson State University,,,
1638,Mott Community College,,,
1653,SUNET Swedish University Network,,,
1657,University of Louisville,,,
1704,Korea Advanced Institute of Science and Technology,,,
1706,University of Arizona,,,
1736,Marquette University,,,
1742,Harvard University,,,
1776,(Wirtschaftsuniversitaet Wien) - Vienna University of Economics and Business,,,
1777,Saint Xavier University,,,
1781,Korea Advanced Institute of Science and Technology,,,
1826,University of Arkansas-Fort Smith,,,
1830,Gulf Coast State College,,,
1832,Southern Methodist University,,,
1840,Universidad de Las Americas-Puebla,,,
1851,The University of Adelaide,,,
1852,University of California - Office of the President,,,
1929,University of Massachusetts,,,
1967,Middle East Technical University / Orta Dogu Teknik Universitesi,,,
1968,University of Massachusettes,,,
1970,Texas A&M University,,,
2003,Electric Power Research Institute,,,
2025,University of Toledo,,,
2037,California State University at Fresno,,,
2055,Louisiana State University,,,
2148,A.I.Alikhanov Institute,,,
2152,"California State University, Office of the Chancellor",,,
2153,"California State University, Office of the Chancellor",,,
2496,University of Kansas,,,
2501,The University of Tokyo,,,
2504,Kyoto University,,,
2508,Kyushu University,,,
2547,Budapest University of Technology and Economics,,,
2549,Universidad de Guadalajara,,,
2553,Florida State University,,,
2563,Seoul Christain University,,,
2572,University of Missouri - dba the Missouri Research and Education Network (MOREnet),,,
2592,Ege University,,,
2637,Georgia Institute of Technology,,,
2641,The Scripps Research Institute,,,
2698,Iowa State University,,,
2701,Kansas State University,,,
